model,improvement_vs_classical,bootstrap_ci_lower,bootstrap_median,bootstrap_ci_upper,probability_better,p_one_sided,p_bonferroni,p_holm
Classical + lagged Lambda,0.010415416735382599,-0.00089158260574802,0.010420903589014346,0.021572980629716014,0.9616666666666667,0.03833333333333333,0.15333333333333332,0.115
Classical + Lambda + characters,0.007872641914413503,-0.005289855981083669,0.007779006964719115,0.021448429002440855,0.869,0.131,0.524,0.262
Classical + Lambda + characters + residue energy,0.007472810903149774,0.00038470110827951165,0.007528888027981462,0.015105310974818778,0.98,0.020000000000000018,0.08000000000000007,0.08000000000000007
Full past-only + current VSDS,0.005978022937126792,-0.015327746130570922,0.005658440271956944,0.027786151826489653,0.703,0.29700000000000004,1.0,0.29700000000000004
