model,feature_count,selected_alpha,n,rmse,mae,r2,rmse_change_vs_classical
Li zero-residual baseline,0,,240,0.5184756737729995,0.41358634598537913,-0.0026534254816459324,-0.0028180488037566898
Classical Ridge,3,300.0,240,0.5212937225767562,0.4153775783011355,-0.013582405031017153,0.0
Classical + lagged Lambda,9,1000.0,240,0.5108783058413736,0.40627117937235524,0.02651560402306119,-0.010415416735382599
Classical + Lambda + characters,30,1000.0,240,0.5134210806623427,0.4083291336402522,0.016800915345888456,-0.007872641914413503
Classical + Lambda + characters + residue energy,66,3000.0,240,0.5138209116736064,0.4095888975230589,0.015268969855805614,-0.007472810903149774
Full past-only + current VSDS,103,1000.0,240,0.5153156996396294,0.41304561089292713,0.00953115284328343,-0.005978022937126792
