type,label,x,y,berry,error,pi_y,max_share
near_B,a,20,3,1.7270558270255323,0.026797193911535365,2,0.5041365167216709
near_B,b,45,3,1.7205104927698227,0.07406717352385835,2,0.5028020716688206
rank_reversal,low,45,3,1.7205104927698227,0.07406717352385835,2,0.5028020716688206
rank_reversal,high,20,3,1.7270558270255323,0.026797193911535365,2,0.5041365167216709
